tdtfile	medfile	rat	session	box	dietgroup	date	bottleL	bottleR	licksL	licksR	Totallicks	missedtrials	intakeL	intakeR	blue	uv	trialLttl	trialRttl	lickLttl	lickRttl	pyinclude	matinclude
Eelke-171016-095344	!2017-10-16_09h45m.Subject PPP1.1	PPP1.1	s1	1	PR	171016	saccharin	saccharin	534	213	747		3	2	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171016-095344	!2017-10-16_09h46m.Subject PPP1.2	PPP1.2	s1	2	PR	171016	saccharin	saccharin	304	856	1160		2	6	Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171016-122222	!2017-10-16_12h19m.Subject PPP1.3	PPP1.3	s1	1	PR	171016	saccharin	saccharin	362	1	363				Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171016-122222	!2017-10-16_12h20m.Subject PPP1.4	PPP1.4	s1	2	PR	171016	saccharin	saccharin	181	540	721		3		Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171016-110831	!2017-10-16_11h04m.Subject PPP1.5	PPP1.5	s1	1	NR	171016	saccharin	saccharin	436	20	456		4	3	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171016-110831	!2017-10-16_11h12m.Subject PPP1.6	PPP1.6	s1	2	NR	171016	saccharin	saccharin	0	378	378		0		Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
	!2017-10-16_13h24m.Subject PPP1.7	PPP1.7	s1	1	NR	171016	saccharin	saccharin	868	44	912		6	2	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
	!2017-10-16_13h24m.Subject PPP1.8	PPP1.8	s1	2	NR	171016	saccharin	saccharin	367	498	865		3	3	Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171017-091441	!2017-10-17_09h08m.Subject PPP1.1	PPP1.1	s2	1	PR	171017	saccharin	saccharin	88	127	215		1	4	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171017-091441	!2017-10-17_09h08m.Subject PPP1.2	PPP1.2	s2	2	PR	171017	saccharin	saccharin	432	435	867		9	4	Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171017-103304	!2017-10-17_10h36m.Subject PPP1.3	PPP1.3	s2	1	PR	171017	saccharin	saccharin	356	1449	1805		3	10	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171017-103304	!2017-10-17_10h36m.Subject PPP1.4	PPP1.4	s2	2	PR	171017	saccharin	saccharin	1183	734	1917		6	5	Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171017-114638	!2017-10-17_11h40m.Subject PPPI1.5	PPP1.5	s2	1	NR	171017	saccharin	saccharin	413	118	531		4	2	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171017-114638	!2017-10-17_11h40m.Subject PPPI1.6	PPP1.6	s2	2	NR	171017	saccharin	saccharin	818	571	1389		4	3	Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171017-125439	!2017-10-17_12h49m.Subject PPP1.7 and !2017-10-17_13h20m.Subject PPP1.7	PPP1.7	s2	1	NR	171017	saccharin	saccharin	0	0	0		2	1	Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171017-125439	!2017-10-17_12h49m.Subject PPP1.8 and !2017-10-17_13h20m.Subject PPP1.8	PPP1.8	s2	2	NR	171017	saccharin	saccharin	932	119	1051		6	2	Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171018-114315	"!2017-10-18_11h36m.Subject PPP1,1"	PPP1.1	s3	1	PR	171018	saccharin	saccharin	262	95	357	27			Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171018-114315	"!2017-10-18_11h36m.Subject PPP1,2"	PPP1.2	s3	2	PR	171018	saccharin	saccharin	371	345	716	15			Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171018-085949	"!2017-10-18_08h51m.Subject PPP1,3"	PPP1.3	s3	1	PR	171018	saccharin	saccharin	834	261	1095				Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
Eelke-171018-085949	"!2017-10-18_08h52m.Subject PPP1,4"	PPP1.4	s3	2	PR	171018	saccharin	saccharin	1680	0	1680				Dv3B	Dv4B	LT2_	RT2_	LL2_	RL2_	0	0
Eelke-171018-095037	"!2017-10-18_09h44m.Subject PPP1,5"	PPP1.5	s3	1	NR	171018	saccharin	saccharin	301	359	660				Dv1B	Dv2B	LT1_	RT1_	LL1_	RL1_	0	0
